,years,crop_type,geometry
15,2021,3,"POLYGON ((769709.9588996952 1676023.818235271, 769809.0541420633 1675951.334205499, 769737.5263080348 1675853.1393673397, 769650.6353994368 1675908.8554013474, 769655.1896249712 1675977.247646233, 769709.9588996952 1676023.818235271))"
16,2021,1,"POLYGON ((765261.7021258989 1685104.2003488329, 765270.3745142727 1685044.9171392007, 765253.3257136222 1684968.7241533326, 765230.10677227 1684969.5356338182, 765076.4949577863 1684970.3751044965, 765073.7677791626 1685083.9498193392, 765261.7021258989 1685104.2003488329))"
17,2021,1,"POLYGON ((767134.9883433365 1680501.309896585, 767360.1044723489 1680493.3404441562, 767349.0490505036 1680425.3724935884, 767310.6604243324 1680429.738353042, 767309.1401190655 1680434.104253809, 767144.7267054556 1680455.647581831, 767139.5868664891 1680484.0175920036, 767134.9883433365 1680501.309896585))"
18,2021,3,"POLYGON ((772846.6676929162 1673903.1532716197, 773054.3635089269 1673905.8803115448, 773051.4120056481 1673817.1401559475, 772874.0520347811 1673792.2984378345, 772821.9988769048 1673902.3508428198, 772846.6676929162 1673903.1532716197))"
19,2021,4,"POLYGON ((767679.4064733618 1679366.3595010042, 767666.6062669728 1679281.851628898, 767607.440258979 1679274.9780272138, 767562.1040203089 1679281.1045313494, 767526.7747612081 1679314.9121352842, 767571.9688812327 1679330.7047978884, 767612.7803719657 1679344.2334243502, 767679.4064733618 1679366.3595010042))"
20,2021,3,"POLYGON ((770142.6495545236 1677463.907648239, 770046.9523292095 1677384.9892939928, 770023.4506984638 1677410.4248787188, 769986.0637882261 1677452.8697221647, 770059.9625043503 1677544.754608395, 770127.8373710505 1677480.9446060183, 770142.6495545236 1677463.907648239))"
21,2021,2,"POLYGON ((769493.2135009733 1675304.9947999597, 769591.1094009967 1675336.0832999665, 769591.1094010482 1675330.1301999697, 769608.9688009626 1675312.2707999642, 769618.8906010271 1675275.2291999613, 769478.6615009827 1675258.6926999663, 769496.5208009994 1675294.411499966, 769493.2135009733 1675304.9947999597))"
22,2021,1,"POLYGON ((770665.9434366459 1683263.8192390564, 770666.3805188772 1683225.9600483037, 770545.0483733611 1683231.645303947, 770543.6734460486 1683266.9472184128, 770665.9434366459 1683263.8192390564))"
23,2021,3,"POLYGON ((773389.5995068783 1670331.279560301, 773407.2943808796 1670363.8130495267, 773571.190631266 1670301.8269430292, 773560.5508960537 1670263.8391988175, 773389.5995068783 1670331.279560301))"
24,2021,2,"POLYGON ((771853.6981551927 1685059.0800040262, 771980.1114285034 1685050.2513014516, 771971.9991160264 1684952.727574462, 771835.7790037387 1684954.356801187, 771841.8657128996 1684985.6491510142, 771853.6981551927 1685059.0800040262))"
25,2021,4,"POLYGON ((773148.6815842366 1672272.5379553752, 773178.235255139 1672311.8516516953, 773180.839492138 1672291.2887849454, 773209.261444816 1672316.8607634318, 773238.4546368124 1672285.0912783814, 773243.3314348105 1672263.3368479265, 773185.0495322645 1672224.908458966, 773167.3366768116 1672249.835805397, 773150.1156772033 1672241.5543351364, 773148.6815842366 1672272.5379553752))"
26,2021,1,"POLYGON ((767864.4410001358 1683947.590300018, 767937.3075002215 1683952.3589000197, 767933.958600227 1683737.2706000227, 767879.901000181 1683739.6245000218, 767864.4410001358 1683947.590300018))"
27,2021,3,"POLYGON ((761656.9596893033 1684380.0957567974, 761569.6922077921 1684388.1992160073, 761616.2576225614 1684617.3295390115, 761698.9300419458 1684597.1079567543, 761656.9596893033 1684380.0957567974))"
28,2021,1,"POLYGON ((771487.5306968617 1674649.0020376383, 771473.6524511429 1674461.0729966525, 771385.913465716 1674464.5877118453, 771401.667832052 1674641.6479072596, 771487.5306968617 1674649.0020376383))"
29,2021,4,"POLYGON ((766133.6395155636 1684196.0385649302, 766087.6458697636 1684185.2201000731, 766029.8993535172 1684168.0684949446, 765903.3013658 1684136.6289109802, 765878.7411436166 1684226.3578140568, 766036.2542676701 1684252.169987009, 766035.0292711188 1684293.783261268, 766105.8752352892 1684302.7804160416, 766111.0502620615 1684235.1949854882, 766127.2752630217 1684235.8221152814, 766133.6395155636 1684196.0385649302))"
30,2021,3,"POLYGON ((762701.7503439724 1675095.5631279994, 762731.3386991282 1675248.4474698647, 762881.0393782501 1675218.5657040174, 762925.5104705312 1675213.30514168, 762918.6670012637 1675161.6391771503, 762909.5144966966 1675066.3287913469, 762701.7503439724 1675095.5631279994))"
31,2021,1,"POLYGON ((766177.7043241835 1684698.2801192575, 766081.6855224948 1684719.4420051568, 766036.9460873231 1684986.3000338587, 766079.6383467619 1684984.7922651616, 766129.235625607 1684999.9696511866, 766127.8083488403 1684898.5423994435, 766198.5703319568 1684886.3934326943, 766204.2334230973 1684766.4473141055, 766216.792025747 1684739.687333002, 766177.7043241835 1684698.2801192575))"
32,2021,1,"POLYGON ((763789.4564445595 1683193.2992497669, 763777.8812216674 1683151.9853642243, 763692.1261518718 1683168.401966849, 763515.5392829427 1683193.8722259232, 763557.3193750266 1683225.8938099414, 763613.9531104977 1683218.0059883704, 763670.332529101 1683251.8525998308, 763797.9394146581 1683232.364179101, 763789.4564445595 1683193.2992497669))"
33,2021,1,"POLYGON ((761560.5354226171 1675951.6904972575, 761546.2168254447 1675866.0662049635, 761352.7269588961 1675908.422139549, 761243.0895843623 1675914.0694986156, 761261.0274135286 1676012.796906733, 761560.5354226171 1675951.6904972575))"
34,2021,1,"POLYGON ((769889.4031567355 1669258.770479631, 769965.9803166501 1669222.1130351194, 769923.0049619745 1669142.1311776023, 769841.5775722454 1669179.619150469, 769889.4031567355 1669258.770479631))"
35,2021,3,"POLYGON ((762573.1781035824 1674744.4066378593, 762503.7596706548 1674759.132326684, 762489.7915093647 1674719.4543824825, 762431.4749486244 1674722.2368849788, 762478.8195763188 1674825.9429465847, 762622.3250449621 1675014.4151529397, 762627.5236351572 1674972.5151192201, 762588.3093307914 1674901.6684555977, 762591.6104317312 1674846.6838545387, 762615.2883365841 1674806.3182170973, 762573.1781035824 1674744.4066378593))"
36,2021,1,"POLYGON ((772097.1288002606 1670696.3790000302, 772106.2739001557 1670800.722500026, 772107.1129001913 1670810.3649000223, 772142.3404001957 1670803.9410000297, 772140.6083002201 1670773.4113000303, 772200.0309002269 1670763.8492000266, 772188.3338001824 1670683.9362000236, 772097.1288002606 1670696.3790000302))"
37,2021,1,"POLYGON ((771865.9834002276 1671880.1982000298, 771821.6883001567 1671745.8789000213, 771658.5866002161 1671823.327700029, 771717.2340002235 1671918.0556000217, 771858.6381002298 1671882.8971000293, 771865.9834002276 1671880.1982000298))"
38,2021,1,"POLYGON ((767567.9124710478 1671896.1967778243, 767646.4619948331 1671513.585425179, 767532.8800631869 1671485.2851098625, 767489.9927484491 1671777.1857631379, 767567.9124710478 1671896.1967778243))"
39,2021,2,"POLYGON ((771501.9643366762 1681642.990235343, 771574.4020672945 1681663.8677421801, 771599.5389781282 1681665.7086522137, 771599.1963341049 1681639.5760105194, 771579.6775499594 1681635.36439579, 771584.2248819713 1681604.74904324, 771513.1153012852 1681589.8654933623, 771501.9643366762 1681642.990235343))"
40,2021,3,"POLYGON ((769844.2611882604 1682162.9341940423, 769782.4253152832 1682033.5741393229, 769688.5803640278 1682041.9058661133, 769687.8339683808 1682134.8964198104, 769844.2611882604 1682162.9341940423))"
41,2021,3,"POLYGON ((770020.8423886341 1682345.428987648, 770095.5982290255 1682332.8932757936, 770110.5740195401 1682208.7343330532, 770034.82727157 1682195.240975682, 770020.8423886341 1682345.428987648))"
42,2021,3,"POLYGON ((773052.7684501198 1672111.9987705175, 772995.0179006432 1671869.4188419608, 772921.3533400388 1671868.235121299, 772992.9073948914 1672117.0636719693, 773052.7684501198 1672111.9987705175))"
43,2021,1,"POLYGON ((767854.7952498437 1677448.1784857574, 767681.6113576128 1677425.1724744611, 767651.8332191923 1677424.501590537, 767656.4871640682 1677506.923664306, 767852.1920658275 1677506.8258702352, 767854.7952498437 1677448.1784857574))"
44,2021,3,"POLYGON ((771135.6422038879 1682510.1881688912, 771197.9960800547 1682305.7551025776, 771164.2090224021 1682298.9430822681, 771020.6732808788 1682253.2200383092, 770982.0288389944 1682303.923620629, 770942.1519571341 1682331.0308651018, 770930.336851959 1682376.6193937918, 771069.3214900091 1682490.489457297, 771135.6422038879 1682510.1881688912))"
45,2021,2,"POLYGON ((769668.6746934718 1680218.231565683, 769715.472246412 1680215.890344344, 769718.133520569 1680190.124752419, 769763.0260178098 1680194.5152411198, 769779.7464403594 1680105.4724861553, 769723.3832265637 1680107.482353569, 769717.3922342581 1680170.4093102978, 769675.0721869878 1680166.7127294699, 769668.6746934718 1680218.231565683))"
46,2021,4,"POLYGON ((769791.5908105242 1681194.1628732902, 769952.7055356826 1681192.6554259227, 769960.5586281371 1681082.1116016656, 769961.3200372037 1681074.887298499, 769960.4124543746 1681053.0008851455, 769867.158791617 1681066.0929870682, 769804.6150247848 1681097.8884341752, 769800.6116026872 1681111.6907373164, 769791.5908105242 1681194.1628732902))"
47,2021,1,"POLYGON ((763820.5636572351 1682090.7690653605, 764020.1597769365 1682056.259088044, 764004.5053024709 1681976.151175746, 763807.8735420967 1682014.680234027, 763820.5636572351 1682090.7690653605))"
48,2021,1,"POLYGON ((762803.4370699485 1680345.005110463, 762983.9620439317 1680334.4051343726, 762957.4606627157 1680175.9069374735, 762713.3445955678 1680104.425876605, 762803.4370699485 1680345.005110463))"
49,2021,1,"POLYGON ((770993.8241039063 1676955.1319887126, 770948.3901007061 1676950.512512045, 770940.2723849434 1677001.7902438878, 770980.1585683366 1677002.5815777956, 771054.1503868653 1677057.9048045138, 771089.5546379503 1677074.3660924905, 771166.822755605 1677097.2883123949, 771177.8245157553 1677038.4045442934, 771123.11505504 1677017.5135983299, 771061.2692227957 1676990.6727727074, 770993.8241039063 1676955.1319887126))"
50,2021,3,"POLYGON ((770301.7423252247 1677921.0805304188, 770284.4644534054 1678006.4659845175, 770411.938491777 1678018.7884832541, 770438.8827117872 1678015.8685010911, 770473.6255699324 1678009.182711311, 770500.3996826995 1678012.0480542812, 770558.4378262986 1678018.9192503283, 770551.5605443526 1677976.8412583547, 770554.6676966106 1677942.7050124775, 770355.2902788019 1677902.0914081326, 770301.7423252247 1677921.0805304188))"
51,2021,4,"POLYGON ((770232.6072208091 1679863.4546217965, 770289.255793459 1679846.0599717556, 770294.7310393037 1679669.202778064, 770243.7966571376 1679666.5133558174, 770232.6072208091 1679863.4546217965))"
52,2021,3,"POLYGON ((771584.8774766908 1674657.208198008, 771558.5972886425 1674445.8845163246, 771490.0256994164 1674460.8160818396, 771473.6757028928 1674461.0706443978, 771487.535663614 1674649.0011156253, 771584.8774766908 1674657.208198008))"
53,2021,3,"POLYGON ((760499.5181757641 1677196.1064726412, 760494.1515308409 1677107.814683962, 760334.8050644079 1677146.1267885764, 760302.5343931708 1677040.378205081, 760222.1525926999 1677055.5415613367, 760169.2935600969 1677100.2356420108, 760175.0154010549 1677205.1368925623, 760246.5608814018 1677201.3891029921, 760328.5732525215 1677233.1830770643, 760499.5181757641 1677196.1064726412))"
54,2021,2,"POLYGON ((772205.6661894813 1682356.6828588138, 772393.1405171368 1682419.9228074446, 772415.9791550692 1682307.8229715507, 772416.7219572559 1682303.6128700464, 772212.5983469503 1682303.6126373154, 772205.6661894813 1682356.6828588138))"
55,2021,1,"POLYGON ((768868.1795403394 1674077.417225231, 768856.294930283 1674158.3707068036, 769014.3144999093 1674160.1731339886, 769018.8809711031 1674129.6959243543, 769023.5427994065 1674094.6124300896, 769045.0211447784 1674066.0618375621, 768961.8779846439 1674081.9257783387, 768868.1795403394 1674077.417225231))"
56,2021,3,"POLYGON ((767504.457561347 1680847.3504050523, 767446.549377807 1680538.152166346, 767383.8764268172 1680549.8224026484, 767433.2052796665 1680791.5615938026, 767438.23901861 1680854.8290350582, 767504.457561347 1680847.3504050523))"
57,2021,1,"POLYGON ((766668.0741799917 1678990.6890185238, 766616.286050996 1679081.5900123985, 766739.8830685734 1679125.1857754088, 766759.7572606225 1679055.0384577313, 766677.9781749998 1679000.5815352444, 766668.0741799917 1678990.6890185238))"
58,2021,1,"POLYGON ((765586.3279001692 1684001.7993000222, 765468.3749001916 1683953.308900021, 765408.2666001602 1684002.7442000255, 765310.2170002102 1684062.822600025, 765308.2691001785 1684088.6076000158, 765302.2590001664 1684090.6382000207, 765302.5200001731 1684097.0160000266, 765530.6867002051 1684147.9164000251, 765586.3279001692 1684001.7993000222))"
59,2021,1,"POLYGON ((764642.9537265676 1674066.3287788192, 764582.4040156149 1674037.8614292098, 764545.9903120343 1674053.1734543787, 764356.3190406037 1674021.3763481823, 764405.6232678021 1674093.6681693224, 764465.2913831004 1674152.7913908116, 764484.3775805747 1674167.3975798488, 764543.0777260138 1674178.5734453176, 764573.2024148668 1674167.840628655, 764614.0652272089 1674177.7094339598, 764633.3745172222 1674201.1749479105, 764665.1790948736 1674146.1776836428, 764642.9537265676 1674066.3287788192))"
60,2021,1,"POLYGON ((767927.9556060554 1682375.3478850739, 768216.7430756732 1682345.2131635924, 768200.3918734833 1682289.6701555895, 768069.8234015821 1682266.1460308633, 767897.6459689038 1682299.3855005398, 767927.9556060554 1682375.3478850739))"
61,2021,3,"POLYGON ((769598.8900876627 1680293.6010347642, 769776.5265317082 1680292.2085730564, 769763.0260178098 1680194.5152411198, 769718.133520569 1680190.124752419, 769715.472246412 1680215.890344344, 769668.6746934718 1680218.231565683, 769682.2933935425 1680109.0034181846, 769605.8153577873 1680111.7790596106, 769598.8900876627 1680293.6010347642))"
62,2021,1,"POLYGON ((769689.6075533023 1680108.7552509166, 769779.7464403594 1680105.4724861553, 769778.4997283935 1679905.0674169457, 769692.8618634841 1679900.2092191812, 769627.689719514 1679864.0330068695, 769610.7689793531 1679998.687234375, 769686.6806268136 1679998.45144539, 769689.6075533023 1680108.7552509166))"
63,2021,1,"POLYGON ((763734.9478185715 1680343.3797219656, 763643.4776453074 1680207.1778604863, 763447.4431251967 1680267.971254141, 763517.2820927426 1680358.2069801006, 763691.3743593574 1680346.101005197, 763734.9478185715 1680343.3797219656))"
64,2021,3,"POLYGON ((772627.2107494592 1673308.66701909, 772761.0588525028 1673304.1249116152, 772764.6024070579 1673267.4085553682, 772626.1401731012 1673271.011637747, 772627.2107494592 1673308.66701909))"
65,2021,2,"POLYGON ((770496.8264949206 1673768.070073734, 770595.2529159102 1673785.141895905, 770633.077723217 1673722.3586960612, 770635.7937308869 1673645.001346122, 770567.2471597481 1673638.900664436, 770496.8264949206 1673768.070073734))"
66,2021,1,"POLYGON ((768606.695233346 1679448.9026445365, 768611.5501978316 1679278.1293093907, 768457.2052229121 1679263.7446197479, 768460.095436295 1679311.9373580809, 768538.3535559129 1679369.9588576402, 768606.695233346 1679448.9026445365))"
67,2021,4,"POLYGON ((768439.8221550636 1679252.823749527, 768659.2257838971 1679271.4139782493, 768654.507157172 1679188.239109255, 768580.6126439688 1679182.3673002145, 768449.4204310216 1679133.5775389394, 768436.6910559447 1679240.0286900576, 768439.8221550636 1679252.823749527))"
68,2021,1,"POLYGON ((762633.3297001207 1681736.3340000196, 762923.1849001392 1681692.9478000142, 762902.1461001681 1681555.4291000161, 762752.6469001283 1681596.8334000139, 762702.2139001603 1681631.247600025, 762609.9584001561 1681677.9527000154, 762633.3297001207 1681736.3340000196))"
69,2021,2,"POLYGON ((773525.5068318094 1688009.3071181101, 773498.6910218925 1688002.8382840205, 773407.3933897798 1687996.4767765198, 773309.1190456325 1687985.7438586229, 773231.0224162429 1687982.3403678103, 773300.7508121573 1688013.8166639444, 773276.6429467169 1688063.1706625312, 773356.8457766064 1688067.8879564644, 773396.7684908309 1688073.373504919, 773476.181541498 1688066.8355921574, 773506.0624927717 1688031.4949075615, 773525.5068318094 1688009.3071181101))"
70,2021,3,"POLYGON ((772141.5044100541 1680902.3474776465, 772141.5961492626 1680692.4401603853, 772044.361528755 1680657.922530134, 772061.3353476909 1680739.2092949862, 772078.2291579348 1680913.7916118507, 772141.5044100541 1680902.3474776465))"
71,2021,1,"POLYGON ((768930.59156984 1681565.9575052413, 768814.9714841791 1681553.8614220684, 768794.9750305953 1681613.4891596301, 768941.3817414548 1681632.4653075314, 768930.59156984 1681565.9575052413))"
72,2021,4,"POLYGON ((773494.5029511936 1676700.571942506, 773477.3893387865 1676613.5205726891, 773450.9807254069 1676616.6244442167, 773459.3162231329 1676701.4968025517, 773494.5029511936 1676700.571942506))"
73,2021,2,"POLYGON ((772247.3582552562 1685770.904523122, 772284.3273044778 1685568.3927002312, 772227.2878759883 1685564.8507564487, 772208.652867104 1685780.7509421834, 772247.3582552562 1685770.904523122))"
74,2021,2,"POLYGON ((772236.6100284623 1685105.1572756295, 772361.3288389314 1685121.8862644793, 772270.7975907696 1685049.4219313748, 772236.446369665 1685045.2582478377, 772236.6100284623 1685105.1572756295))"
75,2021,2,"POLYGON ((772726.4878646571 1685519.9529573906, 772589.1572538977 1685534.0752273803, 772596.3991136202 1685613.7642880748, 772748.3360948493 1685591.5086052117, 772726.4878646571 1685519.9529573906))"
76,2021,3,"POLYGON ((756889.2085270153 1687031.600563949, 756903.969774849 1687047.8147620251, 756969.008259968 1687007.347417396, 757031.3377102792 1687008.0323159052, 757066.2458451107 1686873.1357224642, 756937.2611484388 1686854.5594035913, 756889.2085270153 1687031.600563949))"
77,2021,4,"POLYGON ((771961.2763259646 1683746.4707670151, 771966.2389878458 1683856.1364333539, 772006.1446035823 1683854.274541151, 772029.3282023438 1683792.653787021, 771961.2763259646 1683746.4707670151))"
78,2021,1,"POLYGON ((770524.5126711274 1682169.3291556519, 770700.5610442924 1682360.34878787, 770765.1823108931 1682350.3553386973, 770725.7425712293 1682265.0931301273, 770674.4159492353 1682213.0188208383, 770651.888132529 1682171.462575787, 770612.9881157591 1682104.5854378876, 770524.5126711274 1682169.3291556519))"
79,2021,1,"POLYGON ((772369.1663306417 1683680.2387038292, 772365.4084265362 1683652.0732881215, 772250.8469193842 1683685.7284127115, 772262.693732058 1683711.662726093, 772369.1663306417 1683680.2387038292))"
80,2021,2,"POLYGON ((770537.5156789352 1688171.1867514811, 770628.1454290708 1688215.7467903963, 770628.1963209433 1688109.2399397204, 770541.7900998744 1688099.050358542, 770537.5156789352 1688171.1867514811))"
81,2021,2,"POLYGON ((769469.6184188353 1686926.3864471859, 769461.3049396647 1687004.2330153221, 769529.8346525661 1687008.3440215073, 769534.8718659048 1686972.3094305287, 769516.4986719713 1686962.3549191938, 769508.971307849 1686915.989906451, 769469.6184188353 1686926.3864471859))"
82,2021,2,"POLYGON ((770099.6299922718 1687743.3050369432, 770043.3714235404 1687523.773412379, 770008.6736198193 1687531.3441208352, 770064.9593228563 1687748.5509293352, 770099.6299922718 1687743.3050369432))"
83,2021,1,"POLYGON ((769206.1867876307 1686326.719053348, 769157.2283761259 1686069.4118542601, 769115.5308042313 1686087.310723922, 769176.2187487315 1686324.824311341, 769206.1867876307 1686326.719053348))"
84,2021,4,"POLYGON ((770354.6754283528 1686833.524366846, 770354.4361453166 1686798.4251856704, 770207.595969713 1686780.675041148, 770067.8387156058 1686754.5933572035, 770062.4820863162 1686790.2921425065, 770354.6754283528 1686833.524366846))"
85,2021,3,"POLYGON ((769416.0442841816 1686528.9721598802, 769312.2230273518 1686527.7768700335, 769290.7017730034 1686595.175027982, 769304.0907588257 1686636.6252387846, 769414.3156935198 1686679.0797328523, 769440.941009427 1686672.5221324684, 769416.0442841816 1686528.9721598802))"
86,2021,3,"POLYGON ((770270.6932376915 1686920.1288188216, 769852.1965033264 1686849.4223138117, 769827.0407065008 1686886.996258192, 769941.8012080637 1686880.902502692, 770264.6709091805 1686938.9913603938, 770270.6932376915 1686920.1288188216))"
87,2021,2,"POLYGON ((770052.2054025629 1685957.7152241583, 769993.2486434801 1685971.4278449728, 770017.1770479134 1686049.6464756452, 770072.7135018767 1686034.2337660047, 770052.2054025629 1685957.7152241583))"
88,2021,1,"POLYGON ((770820.4157072764 1683553.4602735497, 770818.3610772826 1683638.243687351, 770869.8807372396 1683663.971171578, 770898.9897074781 1683545.17893677, 770820.4157072764 1683553.4602735497))"
89,2021,3,"POLYGON ((769032.212043694 1684647.7473219675, 769015.610104609 1684399.1167653694, 768910.0185032982 1684392.1474400144, 768893.8672216012 1684497.4714084691, 768885.0148126393 1684556.9333162967, 768891.3697458676 1684612.0305573912, 768946.525683258 1684629.9349772956, 769032.212043694 1684647.7473219675))"
90,2021,2,"POLYGON ((772842.7582055219 1685892.4281379492, 772881.2272457713 1686059.615161221, 772901.1224132383 1686086.5297464556, 772954.9482894463 1686061.3605730534, 772891.379210612 1685880.3733121888, 772842.7582055219 1685892.4281379492))"
91,2021,2,"POLYGON ((763891.3616824267 1688028.1142706696, 764006.7488054861 1688022.5532743316, 764096.9930642975 1687883.1931539432, 763947.2250304908 1687878.0696263218, 763891.3616824267 1688028.1142706696))"
92,2021,3,"POLYGON ((770358.3978272629 1683112.2461474794, 770281.1737549676 1683105.9308358675, 770254.114962637 1683252.3147273026, 770341.7243306683 1683262.2926278897, 770358.3978272629 1683112.2461474794))"
93,2021,1,"POLYGON ((765493.279854357 1687398.930229247, 765571.1239021465 1687245.1515760357, 765541.3360146983 1687227.542483356, 765505.2747049049 1687251.267929103, 765481.1094029011 1687344.3225018666, 765493.279854357 1687398.930229247))"
94,2021,3,"POLYGON ((769663.6556384634 1685553.3377722113, 769715.713933433 1685541.316125259, 769681.4799632928 1685405.7404630557, 769607.590079125 1685418.6179575035, 769663.6556384634 1685553.3377722113))"
95,2021,3,"POLYGON ((764250.5303859622 1687050.7320421487, 764209.2139523927 1687140.1613457685, 764254.3123972327 1687239.2023239632, 764304.2820072076 1687202.0150722137, 764347.1700361597 1687078.172980832, 764310.4207591512 1687058.2727696148, 764250.5303859622 1687050.7320421487))"
96,2021,1,"POLYGON ((769236.087530335 1687828.447284798, 769310.4737154276 1687781.1437142345, 769328.5748013104 1687516.0826598294, 769327.9124799436 1687461.6039900358, 769285.2736132711 1687468.0878588092, 769236.087530335 1687828.447284798))"
97,2021,1,"POLYGON ((766111.0575467227 1688336.5892656252, 766158.3538014244 1688232.2844730972, 766160.1224111347 1688227.9868822377, 766131.980040788 1688217.0381470923, 766101.220817827 1688284.8859128752, 766017.3554457008 1688259.353330305, 765998.2528345906 1688313.494987034, 766111.0575467227 1688336.5892656252))"
98,2021,1,"POLYGON ((769680.660379694 1685682.1828476232, 769677.7678546039 1685727.9849550198, 769794.2050044977 1685726.1159753685, 769971.9107080961 1685724.5112535139, 769948.2435482163 1685679.5099280449, 769680.660379694 1685682.1828476232))"
99,2021,2,"POLYGON ((770394.6382735905 1687672.2043844226, 770445.3505520893 1687664.708784104, 770432.6135414289 1687567.1327957453, 770387.6636146593 1687568.9379478812, 770394.6382735905 1687672.2043844226))"
100,2021,3,"POLYGON ((774005.2281715537 1685074.190703966, 774077.6735794072 1685038.2804038879, 774073.0711742572 1685027.376270744, 773998.7985272775 1685044.8861907541, 773996.2201172588 1685072.3138351822, 774005.2281715537 1685074.190703966))"
101,2021,1,"POLYGON ((769793.4342013589 1684897.4153999754, 769830.7639833925 1684661.6932804687, 769775.116926349 1684639.7953140016, 769740.8301194139 1684835.3634510883, 769793.4342013589 1684897.4153999754))"
102,2021,2,"POLYGON ((772689.0041618086 1687813.4430338761, 772711.8701421074 1687825.1135294994, 772709.6273531055 1687621.1481046444, 772679.6953755228 1687616.25964317, 772673.9379184286 1687713.622734489, 772689.0041618086 1687813.4430338761))"
103,2021,2,"POLYGON ((772980.485685672 1688275.5430485408, 773037.7982402811 1688273.5553332139, 773022.2203005954 1688107.2985876838, 772902.3115650928 1688112.6519936933, 772916.6347219036 1688165.5202431348, 772968.570108649 1688163.8016777113, 772980.485685672 1688275.5430485408))"
104,2021,2,"POLYGON ((772923.6932760653 1688325.0343291827, 772973.3144060974 1688318.9708655023, 772974.6823061823 1688275.475265748, 772921.0483272871 1688275.4024775887, 772923.6932760653 1688325.0343291827))"
